instance_id,solver_name,-t,-k,-i,-ni,-is,-mi,-fa,-ks,-r,-wi,-wk,-wa,-wr,-rwa,-swa,-swr,-rwr,building_solution_time,iterations_counter,improvements_counter,-r (restart) counter,not_improvements_counter,no_families_to_remove_counter,unfeasible_add_random_families_counter,removal_number_values,mean_shaking_time,-mi limit reached,-is limit reached,-fa limit reached,-ks limit reached,reached_k_max_counter,discarded_get_best_neighbor,improvement_failures_counter,improvement_successes_counter,vnd_iterations_counter,mean_get_best_neighbor_time,final_iterations_without_improvement,vnds_k_values_counter,top_solutions,initial_solution_obj_value,stopping_cause,execution_time,obj_value
G1_SC3_instance3-k3_f9_r2_i500,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0850,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,{},['239-0.08574s'],239,stop_instance_optimum,0.0857,239
G1_SC3_instance4-k3_f8_r2_i500,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0514,4068,0,135,4068,0,0,"{1: 1221, 2: 1356, 3: 1356}",0.1491,1902,4834,4042,109607,1356,47647,4834,593,2343,0.0023,4068,"{1: 1356, 2: 1356, 3: 1356}",['220-0.05201s'],220,stop_cpu_time_limit,600.3382,220
G1_SC3_instance5-k3_f10_r2_i600,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0967,3993,0,133,3993,0,0,"{1: 1198, 2: 1331, 3: 1331}",0.1495,7033,2846,3929,107616,1331,21777,2846,193,1737,0.0071,3993,"{1: 1331, 2: 1331, 3: 1331}",['136-0.09844s'],136,stop_cpu_time_limit,600.0673,136
G1_SC3_instance6-k3_f9_r2_i600,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0577,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,{},['124-0.05834s'],124,stop_instance_optimum,0.0583,124
G1_SC3_instance7-k5_f8_r2_i400,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0914,3964,1,132,3963,0,0,"{1: 1190, 2: 1321, 3: 1321}",0.1362,4392,3198,3837,114450,1321,28233,3198,244,1893,0.0034,3,"{1: 1322, 2: 1321, 3: 1321}","['204-0.09212s', '217-534.73607s']",204,stop_instance_optimum,535.1500,217
G1_SC3_instance8-k5_f6_r2_i400,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0514,4356,0,145,4356,0,0,"{1: 1307, 2: 2904}",0.1388,40,7767,4235,125250,1452,87866,7767,3668,7765,0.0013,4356,"{1: 1452, 2: 1452, 3: 1452}",['94-0.05230s'],94,stop_cpu_time_limit,600.2059,94
G1_SC3_instance9-k5_f8_r2_i500,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.1474,4725,0,157,4725,0,0,"{1: 1418, 2: 3150}",0.1306,60,1070,4748,122830,1575,11503,1070,305,898,0.0015,4725,"{1: 1575, 2: 1575, 3: 1575}",['115-0.14804s'],115,stop_cpu_time_limit,600.3448,115
G1_SC3_instance10-k5_f9_r2_i500,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.1190,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,{},['153-0.11964s'],153,stop_instance_optimum,0.1196,153
G1_SC3_instance11-k5_f13_r2_i600,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0837,275,4,8,271,0,0,"{1: 86, 2: 91, 3: 90}",0.1249,1090,302,274,7283,90,1959,302,24,165,0.0085,3,"{1: 94, 2: 91, 3: 90}","['290-0.08435s', '309-1.40623s', '310-3.06409s', '327-31.27713s', '332-35.92914s']",290,stop_instance_optimum,36.3146,332
G1_SC3_instance12-k5_f9_r2_i600,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.0785,3720,0,123,3720,0,0,"{1: 1117, 2: 2480}",0.1639,156,3703,3610,105731,1240,41282,3703,1652,3563,0.0018,3720,"{1: 1240, 2: 1240, 3: 1240}",['113-0.07919s'],113,stop_cpu_time_limit,600.3802,113
G1_SC3_instance13-k10_f5_r2_i400,vnds,600,3,0,0,10,10,30,20,30,True,True,True,True,False,False,False,False,0.1531,0,0,0,0,0,0,{},0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,{},['48-0.15377s'],48,stop_instance_optimum,0.1538,48
