Item 283 - ['-771.3007', '-771.3007', '-771.3007', '-771.3007', '-771.3007']
Item 284 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 285 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 286 - ['-374.9713', '-374.9713', '-374.9713', '-374.9713', '-374.9713']
Item 287 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 288 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 289 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 290 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 291 - ['-565.4628', '-565.4628', '-565.4628', '-565.4628', '-565.4628']
Item 292 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 293 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 294 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 295 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 296 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 297 - ['-0.0000', '-0.0000', '0.5822', '-0.0000', '-0.0000']
Item 298 - ['-0.0000', '-0.0000', '-0.0000', '0.5822', '-0.0000']
Item 299 - ['-0.0000', '-0.0000', '-0.0000', '0.5822', '-0.0000']
Item 300 - ['-0.0000', '-0.0000', '0.5822', '-0.0000', '-0.0000']
Item 301 - ['0.5822', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 302 - ['-0.0000', '0.5822', '-0.0000', '-0.0000', '-0.0000']
Item 303 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '0.5822']
Item 304 - ['-0.0000', '0.5822', '-0.0000', '-0.0000', '-0.0000']
Item 305 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 306 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 307 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 308 - ['-38.8227', '-38.8227', '-38.8227', '-38.8227', '-38.8227']
Item 309 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 310 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 311 - ['-529.8288', '-529.8288', '-529.8288', '-529.8288', '-529.8288']
Item 312 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 313 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 314 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 315 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 316 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 317 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
Item 318 - ['-0.0000', '-0.0000', '-0.0000', '-0.0000', '-0.0000']
